entso_unit_id,platts_unit_id,gppd_plant_id
11WD7HERN2S--4-X,1119205,WRI1005904
11WD7WSFN1S--E-Z,1194958,WRI1006141
16WSINES3------0,1148460,WRI1023227
17W100P100P0009R,1116249,WRI1002760
17W100P100P0018Q,1110698,WRI1002713
19W0000000000660,1122347,WRI1019038
19W000000000067Z,1122349,WRI1019038
19W000000000086V,1126413,WRI1019051
19W000000000089P,1126414,WRI1019051
19W000000000093Y,1126415,WRI1019051
19W000000000178Q,1144416,WRI1019033
19W000000000188N,1148693,WRI1019052
24WG--EVOG16---5,1156392,GEODB0042632
49W000000000030A,1130353,WRI1019296
49W0000000000326,1195215,WRI1019296
11WD8LIPD1L---R6,1129333,WRI1005935
26WUUUUCASSANO1K,1179326,WRI1002861
